76,NFC Cross Fit Academy,NULL,"NFT MMA CrossFit Academy, Rishi Nagar, Bawadiya Kalan, Gulmohar Colony, Bhopal, Madhya Pradesh 462039",NULL,NULL,NULL,075664 56989,NULL,NULL,NULL,NULL,NULL
77,Madhya Pradesh Thighyogaart Sport Associstion,NULL,"Plot No---563,Near-Railway Colony ,Bhopal Juction, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
78,7daysfitness club ( live a healthier life,NULL,"H.no 75 Rani Aman bai colony, Aishbagh Rd, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
79,junoon Kerwa Campsite,NULL,"Kerwa Dam Rd, Mendora, Madhya Pradesh 462007",NULL,NULL,NULL,094798 24975,NULL,NULL,1899-12-30,1899-12-31,NULL
80,Shuja Fitness Center,NULL,"Saifia Arts and commerce college, Housing Board Colony, Kohefiza, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
81,Arjun Fitness Club,NULL,"Bittan Market, Metro Plaza, Bittan Market, 20, E-5, Char Lmli Rd, Near Post Office, Arera Colony, Bhopal, Madhya Pradesh 462016",NULL,NULL,NULL,0755 242 0513,NULL,NULL,1899-12-30,1899-12-31,NULL
82,Universal Fitness Center Bhopal,NULL,"69JV+HP2, K.J Tower Near Mini Bus Stop jawahar Chowk, Opposite Water Tank, Bhopal, Madhya Pradesh 462003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,Body Craze Fitness Centre,NULL,"2353, Old Ct Rd, Near Star Shadi Hall, Lower Idgah Hills, Niyamatpura, Idgah Hills, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
84,KASRAT THE FITNESS STUDIO,NULL,"Rachna Nagar Under Bridge, Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462023",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
85,"Sports Authority Of India (SAI), UDMCC",NULL,"689V+GVC, Bhadbhada Road, near sai stadium, Gora Gaon, Bhopal, Madhya Pradesh 462044",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,Aryan's Club,NULL,"3rd Floor, Infront Of DDX Cinema Mandakini Road, Madhya Pradesh 462042",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,Sports Club Ground,NULL,"WWC7+7P9, Biaora, Madhya Pradesh 465674",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,REIKI CENTER BY AJAY GYANCHANDANI,NULL,"A, new-37,Bus stand road, Bairagarh Rd, Sant Hirdaram Nagar, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,KG Fitness and Yoga center,NULL,"plot no. 4, One Tree Hill Rd, near dr. gyanchandani clinic, Behata, Bairagarh, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,Blaze Futsal & Cricket,NULL,"26/2, Road, Singarcholi, Laukhadi, Gandhi Nagar, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,Yadav Fitness Center Cto Rd,NULL,"78HV+VCW, CTO Rd, Panchwati Colony, Data Colony, Lalghati, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,Fit Fighter The Fitness club,NULL,"161, Behind Leela Heights, Professors Colony, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,BS Fitness Centre,NULL,"3, LIG Shopping Center, Gautam Nagar, Govindpura, Bhopal, Madhya Pradesh 462023",NULL,NULL,NULL,098260 59768,NULL,NULL,NULL,NULL,NULL
94,ANSWER FITNESS,NULL,"Pooja Shree Nagar, Bairagarh, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,Udaan Sports Academy,NULL,"7FH5+C7V, Ayodhya Bypass Rd, Kakda Abhinav Homes, Housing Board Colony, Ayodhya Nagar, Bhopal, Madhya Pradesh 462041",NULL,NULL,NULL,092000 55600,NULL,NULL,NULL,NULL,NULL
96,T-Maxx Fitness Centre,NULL,"79J5+QG4, Airport Rd, Tilak Society, Tilak Nagar, Lalghati, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,098268 25824,NULL,NULL,NULL,NULL,NULL
97,Smart Fitness Centre,NULL,"Gautam Nagar, Nariyalkheda, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
98,Fitness M5,NULL,"near Milan Shadi Hall, NRI Colony, Kohefiza, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,0755 408 3223,NULL,NULL,1899-12-30,1899-12-31,NULL
99,Sparkle fitness centre,NULL,"Sparkle fitness centre, A new 30 allahabad bank road near shiv mandir, Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,090394 38189,NULL,NULL,1899-12-30,1899-12-31,NULL
100,Health Is Wealth - Fitness Centre,NULL,"Bharat Scout & Guide Smart City Hospital Campus Smart Road, Shyamla Hills Rd, Bhopal, Madhya Pradesh 462003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,A B Fitness,NULL,"HIG-8 sarswati nagar, Jawahar Chowk, Bhopal, Madhya Pradesh 462003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,Gour Sports Club,NULL,"RPWM+VCF, Vishwa Bharti school Campus,Subhash Nagar- Road, Tulsi Nagar Ward, Sagar, Madhya Pradesh 470002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,"sports center , barwani",NULL,"moti mata chowk, Barwani, Madhya Pradesh 451551",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,Glamour Fitness Center,NULL,"794X+2RH, Kamla Park Rd, Moti Mahal,Near Moti Masjid, Chowki Talaiya, Peer Gate Area, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,Yoga And Naturopathy,NULL,"Dainik Bhaskar Mall, F-23, Hoshangabad Rd, DB City Mall, Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462016",NULL,NULL,NULL,078796 91899,NULL,NULL,NULL,NULL,NULL
106,Fitness and health center,NULL,"House no 30, above Lodhi medical, Shyamla Hills Rd, Bhopal, Madhya Pradesh 462002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,TOUCH N Heal REIKI Center,NULL,"House no 30, above Lodhi medical, Shyamla Hills Rd, Bhopal, Madhya Pradesh 462002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,Vishal Fitness Planet,NULL,"Link Rd 1, 2nd Stop, STT Nagar, Shivaji Nagar, Bhopal, Madhya Pradesh 462003",NULL,NULL,NULL,0755 257 0311,NULL,NULL,1899-12-30,1899-12-31,NULL
109,junoon Kerwa Campsite,NULL,"Kathotiya Camp Ground Trail, Bhopal, Madhya Pradesh 462042",NULL,NULL,NULL,094798 24975,NULL,NULL,1899-12-30,1899-12-31,NULL
110,Ashish Sports Center,NULL,"MF85+HWG, Datia, Madhya Pradesh 475661",NULL,NULL,NULL,094795 36796,NULL,NULL,NULL,NULL,NULL
